"name","state","city","phone","website","address"
"Pueblo El Mirage Golf Club","AZ","El Mirage","(623) 233-8821","http://robertsresorts.com/resorts/pueblo-el-mirage/golf","12075 West Cactus Road, 85335"
"Quail Creek Golf Club Coyote Road Runner Course","AZ","Green Valley","7626024131","http://facebook.com/quailcreekcountryclub","2027 East Canyon Wren Way, 85614"
"Quail Creek Golf Club Quail Coyote Course","AZ","Green Valley","7626045589","http://facebook.com/quailcreekcountryclub","1490 North Quail Range Loop, 85614"
"Quail Creek Golf Club Road Runner Quail Course","AZ","Green Valley","7626024201","http://facebook.com/quailcreekcountryclub","926 North Quail View Loop, 85614"
"Quail Run At Rio Verde Country Club","AZ","Rio Verde","(480) 471-7010","http://www.rioverdearizona.com","18512 East Four Peaks Boulevard, 85263"
"Quailwood Greens Golf Course","AZ","Dewey","9701877345","http://www.quailwoodgreens.com","12200 Pepper Tree Way, 86327"
"Quarry Pines Golf Club","AZ","Tucson","17114640099","http://playthepines.com","North Continential Links Drive, 85652"
"Queen Valley Golf Course","AZ","Queen Valley","1-877-588-2121","http://queenvalleygolfcourse.wordpress.com","600 North Fairway Drive, 85118"
"Quintero Golf Club","AZ","Peoria","928.501.1500","http://www.quinterogolf.com","North Quintero Lane, 85383"
"Ranch At Tonto Verde Golf Club","AZ","Rio Verde","480.471.2582","http://www.tontoverde.org","19097 East Picacho Road, 85263"
"Rancho Del Lago","AZ","Vail","","https://www.dellagogolf.net/","Rancho Del Lago, AZ 85641, USA, 85641"
"Rancho Manana Golf Club","AZ","Cave Creek","16735551932","http://azhideawaycollection.com/rancho-manana-golf-club","5801 East Rancho Manana Boulevard, 85331"
"Randolf Golf Complex","AZ","Tucson","(520) 791-4161","http://www.tucsoncitygolf.com/randolph-dell-urich/","602 S Alvernon Way, Tucson, AZ 85711, USA, 85711"
"Raptor At Grayhawk Golf Club","AZ","Scottsdale","17468121998","http://grayhawkgolf.com","6820 East Thompson Peak Parkway, 85255"
"Raven Golf Club Phoenix","AZ","Phoenix","3333333333","http://www.ravenphx.com","3636 East Baseline Road, 85042"
"Red Mountain Ranch Country Club","AZ","Mesa","2999999999","https://www.rmrcc.com/","6425 East Teton Circle, 85215"
"Ridge Canyon At La Paloma Country Club","AZ","Tucson","520.299.1500","http://www.lapalomacc.com","3660 East Sunrise Drive, 85718"
"Rio Verde Country Club","AZ","Rio Verde","(480) 471-7010","https://www.rioverdearizona.com/","18731 E 4 Peaks Blvd, Rio Verde, AZ 85263, USA, 85263"
"Riverview Golf Course","AZ","Sun City","","http://suncityaz.org/golf-directory/riverview-golf-course/","10500 West Brookside Drive, 85351"
"Robson Ranch Golf Club","AZ","Eloy","520-426-3333","http://www.robsonranchgolf.com","Club House Loop, 85131"
"Rolling Hills Golf Course","AZ","Tucson","6104050767","http://www.rollinghillsgolftucson.com/","East 29th Street, 85730"
"Saddlebrooke Ranch Golf Club","AZ","Oracle","(520) 818-6403","http://www.saddlebrookeranchgolfclub.com/","South Amenity Drive, 85623"
"Saddlebrooke Tucson At Saddlebrooke Country Club","AZ","Tucson","(520) 825-3048","http://www.saddlebrooke.org","36853 South Ridgeview Boulevard, 85739"
"Saguaro Course At We Ko Pa Golf Club","AZ","Scottsdale","9999999999","http://www.wekopa.com","Cactus Drive, 85264"
"San Ignacio Golf Club","AZ","Green Valley","1503068273","http://sanignaciogolf.com/","85622"
"San Marcos Golf Course","AZ","Chandler","(480) 963-3358","http://www.sanmarcosgolfresort.com/","100 N Dakota St, Chandler, AZ 85225, USA, 85225"
"San Marcos Golf Resort","AZ","Chandler","480.963.3358","http://www.sanmarcosgolfresort.com","West San Marcos Drive, 85225"
"San Miguel Golf (ex Grande Valley)","AZ","Eloy","(520) 350-7777","","1505 N Toltec Rd, Eloy, AZ 85131, USA, 85131"
"San Pedro Golf Course","AZ","Benson","1503068273","http://www.sanpedrogolf.com/","85627"
"San Tan Highlands","AZ","Queen Creek","2999999999","http://www.santanhighlands.com/","North Coral Bean Drive, 85143"
"Scottsdale National Golf Club","AZ","Scottsdale","","http://www.sngc.com","Dixileta Trail, 85262"
"Scottsdale National Golf Club The Other Course","AZ","Scottsdale","","http://www.sngc.com","118th Street, 85262"
"Scottsdale Silverado Golf Club","AZ","Scottsdale","(480) 778-0100","http://www.scottsdalesilveradogolfclub.com","Arizona Canal Path, 85250"
"Sedona Golf Resort","AZ","Sedona","11034163084","http://sedonagolfresort.com","35 Ridge Trail Drive, 86351"
"Seville Golf Country Club","AZ","Gilbert","15273336560","http://invitedclubs.com/clubs/seville-golf-country-club","South Clubhouse Drive, 85298"
"Sewailo Golf Club","AZ","Tucson","(520) 838-6645","http://casinodelsol.com/sewailo-golf-club","5655 West Valencia Road, 85757"
"Sidewinder At Gold Canyon Golf Resort","AZ","Gold Canyon","2999999999","http://gcgr.com","South Kings Ranch Road, 85118"
"Silverbell Municipal Golf Course","AZ","Tucson","1503068273","http://tucsoncitygolf.com/silverbell","North Kellen Canyon Court, 85745"
"Skyline Country Club","AZ","Tucson","(520) 299-1111","http://skylinecountryclub.com","North Dundedin Place, 85718"
"Snowflake Municipal Golf Course 18 Hole Course","AZ","Snowflake","(800) 600-9033","http://snowflakegolfcourse.com","2157 Ridge Road, 85937"
"Sonoran Course At Omni Tucson National Golf Resort Spa","AZ","Tucson","(520) 297-2271","http://tucsonnational.com","2727 West Club Drive, 85742"
"South At Antelope Hills Golf Course","AZ","Prescott","928-776-7888","http://www.antelopehillsgolf.com","5619 Hole in One Drive, 86301"
"South At Boulders Golf Club Resort","AZ","Carefree","480.488.9028","http://www.bouldersclub.com/","34631 North Tom Darlington Drive, 85377"
"Southern Ridge Golf Club","AZ","Phoenix","+16022374567","http://www.southernridgegc.com","5740 West Baseline Road, 85339"
"Springfield Golf Resort","AZ","Chandler","480.895.0916","http://www.springfieldgolfresort.com","1200 East Saint Andrew's Boulevard, 85249"
"Stardust Golf Course","AZ","Sun City West","(623) 544-6012","https://suncitywest.com/stardustgolfcourse/","12702 W Stardust Blvd, Sun City West, AZ 85375, USA, 85375"
"Starfire Golf Club","AZ","Scottsdale","(480) 948-6000","https://www.scottsdaleccgolf.com/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=smbGOLF","11500 Hayden Rd, Scottsdale, AZ 85260, USA, 85260"
"Starfire Golf Club The King Course","AZ","Scottsdale","480-948-6000","http://www.starfiregolfclub.com/","11785 North 83rd Place, 85260"
"Starr Pass Golf Course","AZ","Tucson","(520) 900-8210","https://www.theclubatstarrpass.com/","Golf Club, 3645 W Starr Pass Blvd, Tucson, AZ 85745, USA, 85745"
"Sterling Grove Golf Country Club","AZ","Surprise","623-213-7000","http://www.sterlinggroveclub.com","North Greenwich Boulevard, 85388"
"Stone Canyon Club","AZ","Tucson","+1-520-219-1500","http://www.stonecanyon.com","North Hohokam Village Place, 45755"
"Stonecreek Golf Club","AZ","Phoenix","602.953.9111","http://www.stonecreekgc.com","Indian Bend Wash Bikeway, 85028"
"Stoneridge Golf Course","AZ","Prescott Valley","(928) 772-6500","http://stoneridgegolf.com","North Bluff Top Drive, 86312"
"Sun City Country Club","AZ","Sun City","623-933-1353","http://www.suncitycountryclub.org","9433 North 107th Avenue, 85351"
"Sun City Lakes Golf Club West Course","AZ","Sun City","","http://suncityaz.org/golf-directory/lakes-west-golf-course","10433 West Talisman Road, 85351"
"Sun City South Golf Course","AZ","Sun City","+16238763015","http://suncityaz.org/golf-directory/south-golf-course","11000 North Madison Drive, 85351"
"Sun Lakes Country Club","AZ","Sun Lakes","2545352419","http://sunlakescountryclub.com","South Country Club Drive, 85248"
"Sunbird Golf Resort","AZ","Chandler","480.883.0820","http://www.sunbirdgolf.com","1903 East Waterview Drive, 85249"
"Sundance Golf Club","AZ","Buckeye","(602) 315-9011","http://sundancegolfaz.com","900 South Sundance Parkway, 85326"
"Sunland Village East Golf Course","AZ","Mesa","480-986-4079","http://www.svegolf.com","2250 South Buttercup, 85209"
"Sunland Village Golf Course","AZ","Mesa","(480) 832-3691","http://www.sunlandvillagegolfcourse.com","725 South Rochester, 85206"
"Sunridge Canyon Golf Club","AZ","Fountain Hills","3141925352","http://www.sunridgegolf.com","North Sunridge Drive, 85268"
"Superstition Mountain Golf Country Club Lost Gold Course","AZ","Gold Canyon","6553585331","http://www.superstitionmountain.com","East Cloudview Avenue, 85218"
"Superstition Mountain Golf Country Club Prospector Course","AZ","Gold Canyon","6553585331","http://www.superstitionmountain.com","7076 East Pinyon Village Circle, 85218"
"Superstition Springs Golf Club","AZ","Mesa","3333333333","http://superstitionspringsgc.com","6542 East Baseline Road, 85206"
"Talking Rock Golf Club","AZ","Prescott","928-776-4440","http://talkingrockaz.com","Cooper Morgan Trail, 86305"
"Talking Stick Golf Club","AZ","Scottsdale","(480) 860-2221","http://talkingstickgolfclub.com/","9998 E Talking Stick Wy, Scottsdale, AZ 85256, USA, 85250"
"Talking Stick Golf Club Oodham Course","AZ","Scottsdale","480-860-2221","https://www.talkingstickgolfclub.com/","9998 East Talking Stick Way, 85256"
"Talking Stick Golf Club Piipaash Course","AZ","Scottsdale","480-860-2221","https://www.talkingstickgolfclub.com/","East Talking Stick Way, 85258"
"Tatum Ranch Golf Club","AZ","Cave Creek","+1-480-585-2399","http://tatumranchgc.com","North Tatum Ranch Road, 85311"
"Terravita Golf Club","AZ","Scottsdale","480.488.3456","http://www.terravita.com","North 69th Way, 85327"
"The 500 Club","AZ","Glendale","2147483003","http://www.the500club.com","43rd Avenue East, 85310"
"The Arizona Country Club","AZ","Phoenix","1301718592","http://www.azcountryclub.com","North 57th Place, 85018"
"The Boulders Golf Club","AZ","Scottsdale","(480) 488-9028","http://www.bouldersclub.com/Default.aspx?p=DynamicModule&pageid=362363&ssid=271801&vnf=1","34631 N Tom Darlington Dr, Carefree, AZ 85377, USA, 85266"
"The Club At Prescott Lakes","AZ","Prescott","(928) 443-3500","http://theclubatprescottlakes.com","311 East Smoke Tree Lane, 86301"
"The Club At Seven Canyons","AZ","Sedona","+1 928-203-2000","http://www.sevencanyons.com","658 Golf Club Way, 86336"
"The Club At Starr Pass Gambler Pioneer","AZ","Tucson","11524569796","http://www.theclubatstarrpass.com/","Hidden Canyon Trail, 85745"
"The Club At Starr Pass Palmer Gambler","AZ","Tucson","11524569796","http://www.theclubatstarrpass.com/","South Players Club Drive, 85745"
"The Club At Starr Pass Pioneer Palmer","AZ","Tucson","11524569796","http://www.theclubatstarrpass.com/","West Lost Starr Place, 85745"
"The Clubs At Arrowhead","AZ","Glendale","3333333333","http://theclubsatarrowhead.com/golf","North Arrowhead Country Club Drive, 85308"
"The Clubs At Arrowhead Legend Course","AZ","Glendale","3333333333","http://www.legendatarrowhead.com","21027 North 67th Avenue, 85308"
"The Country Club At Dc Ranch","AZ","Scottsdale","(480) 342-7200","http://www.ccdcranch.com","East Trails End Drive, 85255"
"The Duke At Rancho El Dorado","AZ","Maricopa","(480) 844-1100","http://www.thedukegolf.com/","42660 West Rancho El Dorado Parkway, 85138"
"The Estancia Club","AZ","Scottsdale","480-473-4400","http://www.estanciaclub.com","27988 North 99th Place, 85262"
"The Golf Club At Chaparral Pines","AZ","Payson","+1-928-472-1420","http://www.chaparralpines.com","609 North Trailhead Drive, 85541"
"The Golf Club At Dove Mountain Saguaro Tortolita","AZ","Marana","520-579-4116","http://www.clubsofdovemountain.com/","North Secret Springs Drive, 85658"
"The Golf Club At Dove Mountain Tortolita Wild Burro","AZ","Marana","520-579-4116","http://www.clubsofdovemountain.com/","Upper Javelina Trail, 85658"
"The Golf Club At Dove Mountain Wild Burro Saguaro","AZ","Marana","520-579-4116","http://www.clubsofdovemountain.com/","West Lone Eagle Drive, 85658"
"The Golf Club at Dove Mountain","AZ","Marana","(520) 572-3500","https://www.clubsofdovemountain.com/","6501 W Boulder Bridge Pass, Marana, AZ 85658, USA, 85658"
"The Lakes At Ahwatukee","AZ","Phoenix","1503068273","http://www.ahwatukeelakesgc.com","South 44th Street, 85044"
"The Legacy Golf Club","AZ","Phoenix","602-305-5550","http://www.golflegacyresort.com/","South 30th Street, 85042"
"The Legend at Arrowhead Golf Club","AZ","Glendale","(623) 561-1902","https://www.legendatarrowhead.com/","21027 N 67th Ave, Glendale, AZ 85308, USA, 85308"
"The Links Golf Club At Queen Creek","AZ","San Tan Valley","(480) 987-1910","http://www.linksqueencreekgolfclub.com","623 East Ocotillo Road, 85140"
"The Links at Coyote Wash","AZ","Wellton","","https://www.coyotewashgolfcourse.com/","The Links At Coyote Wash, Wellton, AZ 85356, USA, 85356"
"The Oasis - Canyons Course","AZ","","702-346-7820","https://www.theoasisgolfclub.com/the-canyons-course/","1015 Kitty Hawk Dr, Mesquite, NV 89027, USA"
"The Phoenician Golf Club","AZ","Scottsdale","1.1111111111","http://thephoenician.com/golf","4541 North 64th Street, 85251"
"The Phoenician Resort","AZ","Scottsdale","(480) 941-8200","https://www.marriott.com/en-us/hotels/phxlc-the-phoenician-a-luxury-collection-resort-scottsdale/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","6000 E Camelback Rd, Scottsdale, AZ 85251, USA, 85251"
"The Rim Golf Club","AZ","Payson","+1-928-472-1470","http://www.therimgolfclub.com","South Star View, 85072"
"The Silverleaf Golf Club","AZ","Scottsdale","480-515-3200","http://www.silverleafclub.com","East Desert Sage, 85255"
"The Views Golf Club At Oro Valley","AZ","Oro Valley","520.825.3110","http://theviewsgolfclub.com","North Desert Butte Drive, 45755"
"Toka Sticks Golf Club","AZ","Mesa","480.988.9405","http://www.tokasticksgolf.com","6910 East Williams Field Road, 85212"
"Tonto Verde Golf Club (Ranch Course)","AZ","Scottsdale","(480) 471-2710","http://www.tontoverde.org/","18401 El Circulo Dr, Rio Verde, AZ 85263, USA, 85263"
"Torreon Golf Club Cabin Course","AZ","Show Low","928-532-8000","http://www.torreon.com","2331 Gambel Oak Road, 85901"
"Torreon Golf Club Tower Course","AZ","Show Low","928-532-8000","http://www.torreon.com","Summit Trail, 85901"
"Torres Blancas Golf Club","AZ","Green Valley","520-352-1082","https://www.torresblancasgolf.com/","South Waterfall Drive, 85622"
"Tpc Scottsdale The Champions Course","AZ","Scottsdale","2150600628","http://tpc.com/scottsdale","7020 North Hayden Road, 85255"
"Tpc Scottsdale The Stadium Course","AZ","Scottsdale","2150600628","http://www.tpc.com/scottsdale","7020 North Hayden Road, 85255"
"Trail Ridge Golf Course At Sun City West","AZ","Sun City West","3333333333","http://suncitywest.com/trailridgegolfcourse","North 151st Avenue, 85375"
"Tres Rios Golf Course","AZ","Goodyear","(833) 873-7746","http://tresriosgolf.com/","15205 W Vineyard Ave, Goodyear, AZ 85338, USA, 85338"
"Trilogy Golf Club At Vistancia","AZ","Peoria","1064649425","http://trilogygolfclub.com","West Red Fox Road, 85383"
"Troon Country Club","AZ","Scottsdale","480.585.4310","http://www.trooncc.com","85255"
"Troon North Golf Club","AZ","Scottsdale","(480) 585-5300","http://www.troonnorthgolf.com/","10320 E Dynamite Blvd, Scottsdale, AZ 85262, USA, 85262"
"Tubac Golf Resort Anza Rancho","AZ","Tubac","16735695727","https://www.tubacgolfresort.com/","Burruel Street, 85646"
"Tubac Golf Resort Otero Anza","AZ","Tubac","16735695727","https://www.tubacgolfresort.com/","1 Avenue de Otero, 85646"
"Tubac Golf Resort Rancho Otero","AZ","Tubac","16735695727","https://www.tubacgolfresort.com/","Villaescusa Court, 85646"
"Tucson Catalina At Saddlebrooke Country Club","AZ","Tucson","(520) 825-3048","http://www.saddlebrooke.org","38294 South Rolling Hills Drive, 85739"
"Tucson Country Club","AZ","Tucson","4068581433","http://tucsoncountryclub.com","North Camino Principal, 85750"
"Turquoise Valley Golf Course","AZ","Bisbee","(505) 490-9493","https://www.bisbeervpark.com/","1791 W Newell St, Naco, AZ 85620, USA, 85603"
"Tuscany Falls At Pebblecreek East Course","AZ","Goodyear","1753373965","http://robson.com/communities/pebblecreek/golf","3875 North 162nd Lane, 85395"
"Tuscany Falls At Pebblecreek West Course","AZ","Goodyear","1753373965","http://robson.com/communities/pebblecreek/golf","16731 West Holly Street, 85395"
"Tuscany Falls Golf Club","AZ","Goodyear","(623) 935-6720","http://www.robson.com/","16262 W Clubhouse Dr, Goodyear, AZ 85395, USA, 85395"
"Tuscany Falls Golf Club","AZ","Goodyear","(623) 935-6720","http://www.robson.com/","16262 W Clubhouse Dr, Goodyear, AZ 85395, USA, 85395"
"Union Hills Golf Country Club","AZ","Sun City","2999999999","https://www.unionhillscc.com/","West Lindgren Avenue, 85382"
"Valle Vista Golf Course","AZ","Kingman","(928)757-3213","http://vallevistart66az.com","9667 Concho Drive, 86401"
"Ventana Canyon Canyon Course","AZ","Tucson","1 866-399-0637","http://www.ventanacanyonclub.com/","East Desert Moon Loop, 85750"
"Ventana Canyon Golf Course","AZ","Tucson","(520) 577-1400","http://www.ventanacanyonclub.com/","6200 N Club House Ln, Tucson, AZ 85750, USA, 85750"
"Ventana Canyon Mountain Course","AZ","Tucson","1 866-399-0637","http://www.ventanacanyonclub.com/","North Resort Drive, 85750"
"Verde River Golf Social Club","AZ","Rio Verde","1064649425","http://mytrilogylife.com/verderiver","North Verde River Way, 85263"
"Verrado Golf Club Founders Course","AZ","Buckeye","(623) 388-3000","http://www.verradogolfclub.com/","21695 West Calderwood Way, 85396"
"Verrado Golf Club Victory Course","AZ","Buckeye","(623) 388-3000","http://www.verradogolfclub.com/","20777 West San Juan Avenue, 85396"
"Villa de Paz Golf Course","AZ","Phoenix","(623) 877-1172","http://www.villadepazgolf.com/","4220 N 103rd Ave, Phoenix, AZ 85037, USA, 85037"
"We-Ko-Pa Golf Club","AZ","Fountain Hills","(480) 836-9000","https://www.wekopa.com/","18200 Wekopa Way, Fort McDowell, AZ 85264, USA, 85268"
"Westbrook Golf Club Lakes Course","AZ","Peoria","623.566.4548","http://www.westbrookvillagegolf.com","19260 North Westbrook Parkway, 85382"
"Westbrook Golf Club Vistas Course","AZ","Peoria","623.566.4548","http://www.westbrookvillagegolf.com","18825 North Country Club Parkway, 85382"
"Western Skies Golf Club","AZ","Gilbert","(480) 545-8542","http://westernskiesgolf.com/","1245 East Warner Road, 85296"
"Whirlwind Golf Club The Cattail Course","AZ","Chandler","480.940.1500","http://whirlwindgolf.com","West Wild Horse Pass Boulevard, 85048"
"Whirlwind Golf Club The Devils Claw Course","AZ","Chandler","480.940.1500","http://whirlwindgolf.com","East Willis Road, 85226"
"Whirlwind Golf Course","AZ","Chandler","(480) 940-1500","http://www.whirlwindgolf.com/","5692 W North Loop Rd, Chandler, AZ 85226, USA, 85226"
"Whisper Rock Golf Club Lower Course","AZ","Scottsdale","","http://www.whisperrockgolf.com","7598 East Whisper Rock Trail, 85266"
"Whisper Rock Golf Club Upper Course","AZ","Scottsdale","","http://www.whisperrockgolf.com","32000 North Old Bridge Road, 85266"
"White Mountain Country Club","AZ","Pinetop","(928) 367-4357","http://wmccpinetop.com","Country Club Circle, 85935"
"White Wing At Rio Verde Country Club","AZ","Rio Verde","(480) 471-7010","http://www.rioverdearizona.com","19034 East White Wing Drive, 85263"
"Wickenburg Country Club","AZ","Wickenburg","(928) 684-2011","http://wickenburggolfclub.com","North Lazy Fox Drive, 85390"
"Wickenburg Ranch Golf Social Club","AZ","Wickenburg","","http://www.wickenburgranch.com","Iron Ore Court, 85390"
"Wigwam Resort","AZ","Litchfield Park","(844) 239-1641","https://www.wigwamarizona.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing","300 E Wigwam Blvd, Litchfield Park, AZ 85340, USA, 85340"
"Wigwam Resort Blue Course","AZ","Litchfield Park","9999999999","http://www.wigwamgolf.com","840 North Villa Nueva Drive, 85340"
"Wigwam Resort Gold Course","AZ","Litchfield Park","9999999999","http://www.wigwamgolf.com/","300 East Wigwam Boulevard, 85340"
"Wigwam Resort Red Course","AZ","Litchfield Park","9999999999","http://www.wigwamgolf.com","540 North Jasmine Way, 85340"
"Wildfire Golf Club","AZ","Phoenix","(480) 293-3800","https://www.wildfiregolf.com/","5350 E Marriott Dr, Phoenix, AZ 85054, USA, 85054"
"Willowcreek Golf Course","AZ","Sun City","","http://suncityaz.org/golf-directory/willowcreek-golf-course","10600 North Boswell Boulevard, 85373"
"Yuma Golf Country Club","AZ","Yuma","10157370240","http://www.ygcc.org","3150 South Fortuna Avenue, 85365"
"green #4","AZ","Bullhead City","","","86429"
